,Name
Sonia Delaunay-Terk,27
"Jan Dibbets, Harry Shunk, János Kender",27
Joe Jones,27
Elizabeth Peyton,27
Janusz Lesniak,27
John Hunter,27
Julio González,27
Milton Elting Hebald,27
Arnulf Rainer,27
Thomas Struth,27
Paul P.,27
Stuart Klipper,26
William Frederick Weege III,26
"Andy Warhol, Ralph Thomas Ward (Corkie)",26
Misch Kohn,26
Giorgio de Chirico,26
Helmut A. P. Grieshaber,26
Wynn Bullock,26
Richard Prince,26
Franz Wilhelm Seiwert,26
"Jean-Luc Godard, Anne-Marie Miéville",26
Serge Spitzer,26
Bill Arnold,26
Rene Portocarrero,26
Robert Therrien,26
Shigeko Kubota,26
Jerry Uelsmann,26
Enzo Mari,26
Joseph Cornell,26
Erica Karawina,26
Asger Jorn,26
"Richard Serra, Harry Shunk, János Kender",26
John Szarkowski,26
"Black Flag, Raymond Pettibon",26
John Altoon,26
Rudolf Schoofs,25
Bruno Munari,25
Karl Free,25
Joe Goode,25
Julian Lethbridge,25
Giacomo Manzù,25
Nicolas de Staël,25
Massimo Campigli,25
Mario Bellini,25
Russel Wright,25
Erich Comeriner,25
Henry Flynt,25
Fritz Henle,25
"Michael Snow, Harry Shunk, János Kender",25
Ken Domon,25
Carol Summers,25
Daido Moriyama,25
Allan D'Arcangelo,25
Auguste Rodin,25
Jo Baer,25
Jacques Lipchitz,25
Roger Fenton,25
Stuart Davis,25
Suzanne McClelland,25
"Wolfgang Stoerchle, Harry Shunk, János Kender",25
Julio Palazuelos,25
Natan Al'tman,25
Antonio Segui,25
Pipilotti Rist,25
Roni Horn,24
John Coplans,24
Anton Stankowski,24
Mark Tobey,24
Thomas Nozkowski,24
Gregory Masurovsky,24
Kayrock and Wolfy,24
Daniel Joseph Martinez,24
André Beaudin,24
"Rudolf Schwarzkogler, Ludwig Hoffenreich",24
"Olga Rozanova, Olga Rozanova, Kazimir Malevich",24
Alfredo Cortina,24
John G. Bullock,24
Paul L. Anderson,24
Robert Doisneau,24
Peter Takal,24
Enrique Chagoya,24
Arthur Rothstein,24
Koichi Sato,24
Jürgen Partenheimer,24
Saul Steinberg,24
Eric Fischl,24
John Marin,24
Henri Michaux,24
George Lois,24
Allan Sekula,24
Nadar (Gaspard-Félix Tournachon),24
Diederick Van Kleef,24
Roman Cieslewicz,24
Chris Marker,24
Charline von Heyl,23
Jared French,23
Robert Kushner,23
Emmett Williams,23
Edwin Schlossberg,23
"Harry Shunk, János Kender",23
Arturo Herrera,23
Seymour Lipton,23
Sean Scully,23
Karl Hofer,23
Adolph Gottlieb,23
Rirkrit Tiravanija,23
Gottfried Honegger,23
Mario Roberto Álvarez,23
Jack Youngerman,23
Eduardo Chillida,23
Robert H. McNeill,23
Konstantin Grcic,23
William Majors,23
Vera Ermolaeva,23
Robert Mallary,23
Jean Charlot,23
Joan Jonas,23
Carlos Mérida,23
Roger Brown,23
Paul Sharits,23
Mark Steinmetz,23
Douglas Gordon,23
Alexandra Exter,23
Jirí Balcar,23
Shoichi Ida,23
Daniel Spoerri,23
Peter Lipman-Wulf,23
Henri-Gabriel Ibels,23
Gabriel Kohn,22
Marlene Dumas,22
Barbara Morgan,22
Boris Bućan,22
Shusaku Arakawa,22
Emil Ganso,22
Giorgio Morandi,22
"Vito Acconci, Harry Shunk, János Kender",22
"Yves Tanguy, André Breton",22
Esteban Vicente,22
Ernst Van Leyden,22
Josef Hoffmann,22
Alberto Greco,22
"Daum Frères, Nancy, France",22
"Henry Wessel, Jr.",22
David Smith,22
Paul (Geert Paul Hendrikus) Schuitema,22
Zaha Hadid,22
Ray Johnson,22
Hans Kappler,22
Alexander Liberman,22
Herbert Matter,22
Ximena Cuevas,22
Liam Gillick,22
Edward Hopper,22
Ryan McGinness,22
Dick Wray,22
Eric Owen Moss,22
Paul Harris,22
Jacob August Riis,22
Carrie Mae Weems,22
Ettore Sottsass,22
William T. Wiley,22
Leon Polk Smith,22
Richard Lippold,22
Lucian Freud,22
Anne Goldthwaite,22
Paul Cézanne,22
Koshiro Onchi,22
Geoffrey James,22
"Roland Topor, Robert Filliou, Daniel Spoerri",22
Philip Hyde,22
Simpson Kalisher,22
Weegee (Arthur Fellig),22
Jerome Liebling,22
John Hultberg,22
Paul Caponigro,22
Haegue Yang,22
Reiko Sudo,21
"Jake Chapman, Dinos Chapman",21
Ben-Zion,21
Jack Smith,21
Amedeo Modigliani,21
Francis Wishart,21
Hanne Darboven,21
Clarence John Laughlin,21
Alexander Henderson,21
Mark Bradford,21
John McLaughlin,21
Sahlan Momo,21
"Eduardo Del Valle, Mirta Gómez",21
Laure Albin-Guillot,21
Max Slevogt,21
Emmet Gowin,21
Lucy McKenzie,21
Huma Bhabha,21
Charles Reutlinger,21
Michael Kalil,21
Marco Gastini,21
Egon Schiele,21
Leon Krier,21
"Michael Rock, Susan Sellers, Georgianna Stout",21
Libero Badii,21
André Chapon,21
Mike Kelley,21
Kurt Seligmann,21
Peter Schlumbohm,21
Salvador Bru,21
Arman,21
Marino Marini,21
Donald Baechler,21
Lebbeus Woods,21
Paul Kirps,21
Juan Uslé,21
Bruce McLean,21
Giò Pomodoro,20
Michael Spano,20
Zeke Berman,20
Mark Lombardi,20
Paolo Soleri,20
Arthur Köpcke,20
Erich Mendelsohn,20
Philippe Halsman,20
Neil Goldberg,20
Tina Barney,20
David Wark Griffith,20
Karl Schrag,20
Emilio Ambasz,20
Pablo Palazuelo,20
Chris Killip,20
Gérard Titus-Carmel,20
Cheyney Thompson,20
Umberto Boccioni,20
Sonia Gechtoff,20
Bill Viola,20
Jiro Takamatsu,20
Laurie Anderson,20
Daniel Buren,20
"Allen Ruppersberg, Harry Shunk, János Kender",20
"Keith Sonnier, Harry Shunk, János Kender",20
Shahzia Sikander,20
Don Worth,20
Rico Lebrun,20
Associated Press,20
Romare Bearden,20
William Christenberry,20
Peter Shelton,20
Bruce Horowitz,20
Pol Bury,20
Yayoi Kusama,19
"Komar and Melamid, Vitaly Komar, Aleksandr Danilovich Melamid",19
Günther Uecker,19
Wolfgang Gäfgen,19
Eva Hesse,19
John Candelario,19
Kai Althoff,19
Heinz Veuhoff,19
Lyubov Popova,19
"Alexander Liberman, Andrei Voznesensky",19
Guy de Cointet,19
Christian de Portzamparc,19
Umberto Nason,19
Mario Merz,19
Milton Glaser,19
Manfred Pernice,19
Anselm Kiefer,19
Bill Owens,19
Dorothy Dehner,19
Roy DeCarava,19
Trenton Doyle Hancock,19
Herbert Ferber,19
George Krause,19
Robert Delaunay,19
Raimund Abraham,19
Massimo Vignelli,19
Meredith Monk,19
Trisha Donnelly,19
"Flora Manteola, Javier Sánchez Gómez, Josefa Santos, Justo Solsona, Carlos Sallaberry, Rafael Viñoly",19
Edward Curtis,19
Joost Schmidt,19
Rudolf Grossmann,19
Teodoro González de León,19
Nathan Oliveira,19
Patrick Procktor,19
Batiste Madalena,19
Andreas Feininger,19
Ikko Tanaka,19
Sylvia Plimack Mangold,19
Nan Goldin,19
Timo Sarpaneva,19
Michael Heizer,19
Riiko Sakkinen,19
John Paul Edwards,19
Arshile Gorky,19
Michael Ayrton,19
Mirko Ilić,19
Mark Grotjahn,19
Romas Viesulas,18
Eugenio Carmi,18
Gaetano Pesce,18
Magnus Stephensen,18
Per Arnoldi,18
Peter Blume,18
Ryoko Aoki,18
Adrian Paci,18
Tapio Wirkkala,18
Burhan Dogancay,18
Franz Marc,18
John Bellany,18
Bridget Riley,18
Gordon Parks,18
Sanja Iveković,18
Morris Graves,18
Dan Walsh,18
Louis Bunce,18
Ernst Haas,18
August Gaul,18
Niklaus Troxler,18
Arata Isozaki,18
Matthew Monahan,18
Jean-Luc Godard,18
Lisa Yuskavage,18
Öyvind Fahlström,18
Munio Gitai Weinraub,18
Mark Rothko,18
Ellen Phelan,18
Ranjani Shettar,18
Bernardo Ortiz Campo,18
William Crutchfield,18
Paul Signac,18
Dieter Rams,18
"Lee Friedlander, Jim Dine",18
"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",18
Kurt W. Baasch,18
"Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad",18
"Louis-Auguste Bisson, Auguste Rosalie Bisson",18
Maurice Tabard,18
Alen MacWeeney,18
William Copley,18
"Tim Rollins, K.O.S. (Kids of Survival)",18
Miroslaw Balka,18
Ger van Elk,18
Jules Engel,18
Will Barnet,18
Varujan Boghosian,18
Diane Victor,18
Jan Lenica,18
Jennifer Bartlett,18
Hugo Weber,18
Anton Heyboer,18
Peter Eisenman,18
Red Grooms,17
John Bock,17
Victor Moscoso,17
"Flora Manteola, Javier Sánchez Gómez, Josefa Santos, Justo Solsona, Carlos Sallaberry, Damián Vinson",17
James Lee Byars,17
Charles Eames,17
Mark Beard,17
Gerrit Rietveld,17
"Bernd Becher, Hilla Becher",17
Michel Guino,17
Varvara Alexandrovna Rodchenko,17
Paulo Mendes da Rocha,17
Omar Rayo,17
Gerd Leufert,17
Howard Hodgkin,17
Timothy Greenfield-Sanders,17
Ida Applebroog,17
Willi Ruge,17
Ernest  Trova,17
Trude Petri-Raben,17
Lynda Benglis,17
Albert Marquet,17
Wilhelm Sasnal,17
Walter Helbig,17
"Douglas Huebler, Harry Shunk, János Kender",17
"Louise Bourgeois, Tracey Emin",17
Zao Wou-ki,17
Paul Chan,17
Pierre-Auguste Renoir,17
Roger de La Fresnaye,17
Gabriele Picco,17
"Charles Eames, Ray Eames",17
Heinrich Kühn,17
Joyce Treiman,17
Hércules Barsotti,17
Russian Book Collection,17
Wols (A. O. Wolfgang Schulze),17
Louis Lozowick,17
Graciela Iturbide,17
Graham Sutherland,17
Lee Lozano,17
André Racz,17
Marli Ehrman,16
Roy Arden,16
Michael Graves,16
Gilbert & George,16
"Emil Schulthess, Georg Gerster, Hans Frei",16
"George Trakas, Harry Shunk, János Kender",16
Rolf Harder,16
Nalini Malani,16
Kirill Zdanevich,16
Fred Williams,16
Jesús Rafael Soto,16
Joe Bradley,16
Irene Siegel,16
"Rong Rong, inri",16
Ian Hamilton Finlay,16
John Grillo,16
Alice Attie,16
Albert Oehlen,16
Pierre Petit,16
Joseph Stella,16
Cyprien Gaillard,16
Josiah McElheny,16
Ricardo Bofill,16
Paul Morrison,16
Robert Cremean,16
Jacob Epstein,16
Glenn O. Coleman,16
Lygia Clark,16
Mark Fox,16
Underwood and Underwood,16
"Aleksei Kruchenykh, Vasilii Kamenskii, Kirill Zdanevich",16
"Flora Manteola, Javier Sánchez Gómez, Justo Solsona, Carlos Libedinsky, Antonio Diaz, Rao",16
John Wesley,16
Peter Alexander,16
Cedric Price,16
Jules Chéret,16
Federico Castellon,16
Kerry James Marshall,16
Piero Manzoni,16
Marc Brandenburg,16
"Ila Bêka, Louise Lemoine",16
Beatriz González,16
Vladimir Lebedev,16
Agnes Denes,16
Karl Kasten,16
Keith Sonnier,16
Otto Mueller,16
Charles Christopher Hill,16
Wifredo Lam,16
Glen Alps,16
"Bill Beckley, Harry Shunk, János Kender",16
Geneviève Asse,16
John Edward Dowell,16
René Burri,16
"Vladimir Stenberg, Georgii Stenberg",16
Sándor (Alexander) Bortnyik,16
Aubrey Schwartz,15
Mark Cohen,15
Charles White,15
"Marco Zanuso, Richard Sapper",15
Yvonne Rainer,15
"Lance Wyman, Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad",15
Aleksei Gan,15
Bill Dane,15
Helene Fesenmaier,15
Carlfriedrich Claus,15
Andrew Joseph Russell,15
Michael Wesely,15
Juan Downey,15
