Medium,Values
"Screenprint from a portfolio of seventeen screenprints, nine lithographs, two lithographs with screenprint, one photocopy, and one photograph",13
"Ink, watercolor, and pencil on paper",13
"Collage of chromogenic color print, postcard, and beer label",12
Synthetic polymer paint and ink on paper,12
Etching with chine collé from a portfolio of twelve etchings with chine collé; and two letterpress prints with artist's text,12
"Ink, watercolor, and gelatin silver prints on paper",12
"Potato cut and screenprint, printed in color",12
One from a set of four lithographs,12
"Etching over photogravure, printed in black",12
One from a portfolio of twelve linoleum cuts,12
"One from a portfolio of twelve etching, aquatint, drypoint, and carborundum prints on vellum",12
One from a series of twelve inkjet monoprints,12
"Photogravure, printed 1982",12
One from an illustrated book with twelve etching and aquatints with chine collé,12
Gouache on paper on board,12
"Screenprints, printed in color",12
Albumen silver print from a glass-plate negative,12
"Gelatin silver print, printed c. 1961",12
One from a series of sixteen offsets,12
Polypropylene and polyethylene,12
One from an illustrated book with twelve lithographs,12
Glazed vitreous china,12
"One screenprint and lithograph from a portfolio of twelve screenprint and lithographs and one woodcut on fabric
",12
Ink on graph paper,12
"Ivory, smooth, wove Copperplate Deluxe paper",12
Ink and graphite on tracing paper,12
"Aquatint from an illustrated book with 26 aquatints (ten with drypoint, six with engraving, and two with etching), 14 drypoints (one with engraving), and one engraving",12
One from a portfolio of twelve woodcuts,12
Offset [SG to confirm],12
Ballpoint pen on notebook paper,12
One from a portfolio of twelve blind embossings (including title page and colophon),12
Casein and wax on mahogany,12
Drypoint from an illustrated book with six drypoints,12
Artist's book with offset bookplate,12
Illustrated book with four lithographs and seven collages,12
"Letterpress print from a portfolio of ten etching, aquatint and drypoints with chine collé; and twelve letterpress prints with artist's text",12
One from a portfolio of 12 digital prints,12
Charcoal and ink on paper,12
"Etching, relief printed in color",12
Polyester,12
